
2025/01/05 (23:44:50) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/onedark.theme
2025/01/05 (23:44:51) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/HotPurpleTrafficLight.theme
2025/01/05 (23:44:52) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/elementarish.theme
2025/01/05 (23:44:52) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/HotPurpleTrafficLight.theme
2025/01/05 (23:44:52) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/onedark.theme
2025/01/05 (23:44:57) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/flat-remix-light.theme
2025/01/05 (23:44:57) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/everforest-dark-hard.theme
2025/01/05 (23:44:57) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/whiteout.theme
2025/01/05 (23:44:58) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/kyli0x.theme
2025/01/05 (23:44:58) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/dusklight.theme
2025/01/05 (23:46:04) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/adapta.theme
2025/01/05 (23:46:05) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_material_dark.theme
2025/01/05 (23:46:06) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/matcha-dark-sea.theme
2025/01/05 (23:46:07) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_dark.theme
2025/01/05 (23:46:08) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/phoenix-night.theme
2025/01/05 (23:46:10) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_dark.theme
2025/01/05 (23:46:10) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/matcha-dark-sea.theme
2025/01/05 (23:46:10) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_material_dark.theme
2025/01/05 (23:46:10) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/adapta.theme
2025/01/05 (23:46:10) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/dusklight.theme
2025/01/05 (23:46:10) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/kyli0x.theme
2025/01/05 (23:46:10) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/whiteout.theme
2025/01/05 (23:46:10) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/everforest-dark-hard.theme
2025/01/05 (23:46:11) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/flat-remix-light.theme
2025/01/05 (23:46:11) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/onedark.theme
2025/01/05 (23:46:11) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/HotPurpleTrafficLight.theme
2025/01/05 (23:46:11) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/elementarish.theme
2025/01/05 (23:46:12) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_dark_v2.theme
2025/01/05 (23:46:12) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/solarized_dark.theme
2025/01/05 (23:46:13) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tomorrow-night.theme
2025/01/05 (23:46:14) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2025/01/05 (23:46:15) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tomorrow-night.theme
2025/01/05 (23:46:20) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2025/01/05 (23:46:21) | DEBUG: Loading theme file: /Users/master/.config/btop/themes/phoenix-night.theme
2025/01/05 (23:46:38) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/tomorrow-night.theme
2025/01/05 (23:46:38) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/solarized_dark.theme
2025/01/05 (23:46:38) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/gruvbox_dark_v2.theme
2025/01/05 (23:46:38) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/elementarish.theme
2025/01/05 (23:46:39) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/HotPurpleTrafficLight.theme
2025/01/05 (23:46:39) | DEBUG: Loading theme file: /opt/homebrew/Cellar/btop/1.4.0/share/btop/themes/onedark.theme
